Age Range,Santa Barbara,Ventura,Total ,Proportion of Total Population,,Total popluation
Under 5 years,27438,47323,74761,0.0578,,1292505
5 to 9 years,25352,46665,72017,0.0557,,
10 to 14 years,29734,61801,91535,0.0708,,
15 to 19 years,38523,57549,96072,0.0743,,
20 to 24 years,47118,55414,102532,0.0793,,
25 to 34 years,59846,113309,173155,0.1340,,
35 to 44 years,50654,104866,155520,0.1203,,
 45 to 54 years,47214,109967,157181,0.1216,,
55 to 59 years,25932,58672,84604,0.0655,,
60 to 64 years,24358,53817,78175,0.0605,,
65 to 74 years,38898,78541,117439,0.0909,,
75 to 84 years,19319,40324,59643,0.0461,,
 85 years and over,12113,17758,29871,0.0231,,