sex,age_group,proportion
female,0-4,0
female,9-May,0
female,14-Oct,0
female,15-19,0.01826484
female,20-24,0.123287671
female,25-29,0.173515982
female,30-34,0.141552511
female,35-39,0.068493151
female,40-44,0.068493151
female,45-49,0.0456621
female,50-54,0.082191781
female,55-59,0.068493151
female,60-64,0.095890411
female,65-69,0.04109589
female,70-74,0.050228311
female,75-79,0.00913242
female,85+,0.01369863
male,0-4,0
male,9-May,0
male,14-Oct,0
male,15-19,0.005952381
male,20-24,0.06547619
male,25-29,0.101190476
male,30-34,0.130952381
male,35-39,0.06547619
male,40-44,0.095238095
male,45-49,0.071428571
male,50-54,0.071428571
male,55-59,0.071428571
male,60-64,0.053571429
male,65-69,0.06547619
male,70-74,0.101190476
male,75-79,0.041666667
male,80-84,0.023809524
male,85+,0.035714286